#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
# Updated 2021 Dec 20 03:48:53
H00077	S26	1977-113	S10506	Soyuz-26	1977 Dec 10 0118:40	1978 Jan 16 1124:58	   37:10:06:18	   2	Taimyr	Salyut 6	RU	Soyuz	ORB61	   0	  15
H00078	S27	1978-003	S10560	Soyuz-27	1978 Jan 10 1226:00	1978 Mar 16 1118:47	   64:22:52:47	   2	Pamir	Salyut 6	RU	Soyuz	ORB62	   0	  16
H00079	S28	1978-023	S10694	Soyuz-28	1978 Mar  2 1528:10	1978 Mar 10 1344:10	    7:22:16:00	   2	Zenit	Salyut 6	RU	Soyuz	ORB63	   0	  17
H00080	S29	1978-061	S10952	Soyuz-29	1978 Jun 15 2016:45	1978 Sep  3 1140:34	   79:15:23:49	   2	Photon	Salyut 6	RU	Soyuz	ORB64	   0	  18
H00081	S30	1978-065	S10968	Soyuz-30	1978 Jun 27 1527:21	1978 Jul  5 1330:20	    7:22:02:59	   2	Kavkaz	Salyut 6	RU	Soyuz	ORB65	   0	  19
H00082	S31	1978-081	S11010	Soyuz-31	1978 Aug 26 1451:30	1978 Nov  2 1104:17	   67:20:12:47	   2	Yastreb	Salyut 6	RU	Soyuz	ORB66	   0	  20
H00083	S32	1979-018	S11281	Soyuz-32	1979 Feb 25 1153:49	1979 Jun 13 1618:26	  108:04:24:37	   2	Proton	Salyut 6	RU	Soyuz	ORB67	   0	  21
H00084	S33	1979-029	S11324	Soyuz-33	1979 Apr 10 1734:34	1979 Apr 12 1635:40	    1:23:01:06	   2	Saturn	Salyut 6	RU	Soyuz	ORB68	   0	  22
H00085	S35	1980-027	S11753	Soyuz-35	1980 Apr  9 1338:22	1980 Jun  3 1506:23	   55:01:28:01	   2	Dnepr	Salyut 6	RU	Soyuz	ORB69	   0	  23
H00086	S36	1980-041	S11811	Soyuz-36	1980 May 26 1820:39	1980 Jul 31 1515:02	   65:20:54:23	   2	Orion	Salyut 6	RU	Soyuz	ORB70	   0	  24
H00087	T2	1980-045	S11825	Soyuz T-2	1980 Jun  5 1419:30	1980 Jun  9 1239:00	    3:22:19:30	   2	Jupiter	Salyut 6	RU	Soyuz	ORB71	   0	  25
H00088	S37	1980-064	S11905	Soyuz-37	1980 Jul 23 1833:03	1980 Oct 11 0949:57	   79:15:16:54	   2	Terek	Salyut 6	RU	Soyuz	ORB72	   0	  26
H00089	S38	1980-075	S11977	Soyuz-38	1980 Sep 18 1911:04	1980 Sep 26 1554:27	    7:20:43:23	   2	Taimyr	Salyut 6	RU	Soyuz	ORB73	   0	  27
H00090	T3	1980-094	S12077	Soyuz T-3	1980 Nov 27 1418:28	1980 Dec 10 0926:10	   12:19:07:42	   3	Mayak	Salyut 6	RU	Soyuz	ORB74	   0	  28
H00091	T4	1981-023	S12334	Soyuz T-4	1981 Mar 12 1900:11	1981 May 26 1237:34	   74:17:37:23	   2	Photon	Salyut 6	RU	Soyuz	ORB75	   0	  29
H00092	S39	1981-029	S12366	Soyuz-39	1981 Mar 22 1458:55	1981 Mar 30 1140:58	    7:20:42:03	   2	Pamir	Salyut 6	RU	Soyuz	ORB76	   0	  30
H00093	STS1	1981-034	S12399	STS-1	1981 Apr 12 1200:04	1981 Apr 14 1820:51	    2:06:20:47	   2	Columbia	-	NASA	STS	ORB77	   0	   0
H00094	S40	1981-042	S12454	Soyuz-40	1981 May 14 1716:38	1981 May 22 1358:30	    7:20:41:52	   2	Dnepr	Salyut 6	RU	Soyuz	ORB78	   0	  31
H00095	STS2	1981-111	S12953	STS-2	1981 Nov 12 1510:00	1981 Nov 14 2123:13	    2:06:13:13	   2	Columbia	-	NASA	STS	ORB79	   0	   0
H00096	STS3	1982-022	S13106	STS-3	1982 Mar 22 1600:00	1982 Mar 30 1604:45	    8:00:04:45	   2	Columbia	-	NASA	STS	ORB80	   0	   0
H00097	T5	1982-042	S13173	Soyuz T-5	1982 May 13 0958:05	1982 Aug 27 1504:16	  106:05:06:11	   2	El'brus	Salyut-7	RU	Soyuz	ORB81	   0	  32
H00098	T6	1982-063	S13292	Soyuz T-6	1982 Jun 24 1629:48	1982 Jul  2 1420:40	    7:21:50:52	   3	Pamir	Salyut-7	RU	Soyuz	ORB82	   0	  33
H00099	STS4	1982-065	S13300	STS-4	1982 Jun 27 1500:00	1982 Jul  4 1609:40	    7:01:09:40	   2	Columbia	-	NASA	STS	ORB83	   0	   0
H00100	T7	1982-080	S13425	Soyuz T-7	1982 Aug 19 1711:52	1982 Dec 10 1902:36	  113:01:50:44	   3	Dnepr	Salyut-7	RU	Soyuz	ORB84	   0	  34
H00101	STS5	1982-110	S13650	STS-5	1982 Nov 11 1219:00	1982 Nov 16 1433:26	    5:02:14:26	   4	Columbia	-	NASA	STS	ORB85	   0	   0
H00102	STS6	1983-026	S13968	STS-6	1983 Apr  4 1830:00	1983 Apr  9 1853:42	    5:00:23:42	   4	Challenger	-	NASA	STS	ORB86	   0	   0
H00103	T8	1983-035	S14014	Soyuz T-8	1983 Apr 20 1310:54	1983 Apr 22 1328:42	    2:00:17:48	   3	Okean	Salyut-7	RU	Soyuz	ORB87	   0	  35
H00104	STS7	1983-059	S14132	STS-7	1983 Jun 18 1133:00	1983 Jun 24 1356:59	    6:02:23:59	   5	Challenger	-	NASA	STS	ORB88	   0	   0
H00105	T9	1983-062	S14152	Soyuz T-9	1983 Jun 27 0912:18	1983 Nov 23 1958:19	  149:10:46:01	   2	Proton	Salyut-7	RU	Soyuz	ORB89	   0	  36
H00106	STS8	1983-089	S14312	STS-8	1983 Aug 30 0632:00	1983 Sep  5 0740:43	    6:01:08:43	   5	Challenger	-	NASA	STS	ORB90	   0	   0
HA0008	T10A	1983-F02	F00971	Soyuz T	1983 Sep 26 1937:51	1983 Sep 26 1943:21	    0:00:05:30	   2	Okean	Salyut-7	RU	Soyuz	-	   0	   0
H00107	STS9	1983-116	S14523	STS-9	1983 Nov 28 1600:00	1983 Dec  8 2347:24	   10:07:47:24	   6	Columbia	-	NASA	STS	ORB91	   0	   0
H00108	STS41B	1984-011	S14681	STS 41-B	1984 Feb  3 1300:00	1984 Feb 11 1215:55	    7:23:15:55	   5	Challenger	-	NASA	STS	ORB92	   0	   0
H00109	T10	1984-014	S14701	Soyuz T-10	1984 Feb  8 1207:26	1984 Apr 11 1048:48	   62:22:41:22	   3	Mayak	Salyut-7	RU	Soyuz	ORB93	   0	  37
H00110	T11	1984-032	S14872	Soyuz T-11	1984 Apr  3 1308:42	1984 Oct  2 1056:30	  181:21:47:48	   3	Jupiter	Salyut-7	RU	Soyuz	ORB94	   0	  38
