#No	Program	Categ	RoleCode	Mission	HSFID	Role	Name	Rank	Employer	Sponsor	ID	LDate	Duration	Segments
# Updated 2022 Jun 03 03:10:47
#
# Human Space Rides
#
    66	NASA	M	A10/CDR	Apollo 10	H00045	Commander	Thomas Patten Stafford, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00029	1969 May 18 1649:00	    8:00:03 	LM4:4,A10:6
    67	NASA	M	A10/CMP	Apollo 10	H00045	Command Module Pilot	John Watts Young, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00021	1969 May 18 1649:00	    8:00:03:23	-
    68	NASA	M	A10/LMP	Apollo 10	H00045	Lunar Module Pilot	Eugene Andrew Cernan, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00032	1969 May 18 1649:00	    8:00:03 	LM4:4,A10:6
    69	NASA	C	A11/CDR	Apollo 11	H00046	Commander	Neil Alden Armstrong, NASA	Lt j.g. USN (ret)	NASA	NASA	AS-00030	1969 Jul 16 1332:00	    8:03:18 	LM5:5,A11:7
    70	NASA	M	A11/CMP	Apollo 11	H00046	Command Module Pilot	Michael Collins, Lt Col USAF, NASA	LtCol. USAF	USAF	NASA	AS-00033	1969 Jul 16 1332:00	    8:03:18:35	-
    71	NASA	M	A11/LMP	Apollo 11	H00046	Lunar Module Pilot	Edwin Eugene Aldrin, Jr, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00036	1969 Jul 16 1332:00	    8:03:18 	LM5:5,A11:7
    72	RU	M	S6/KDR	Soyuz-6	H00047	Komandir	Georgiy Stepanovich Shonin, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00048	1969 Oct 11 1110:00	    4:22:42:47	-
    73	RU	C	S6/BI	Soyuz-6	H00047	Bortinzhener	Valeriy Nikolaevich Kubasov	-	OKB1	OKB1	AS-00049	1969 Oct 11 1110:00	    4:22:42:47	-
    74	RU	M	S7/KDR	Soyuz-7	H00048	Komandir	Anatoli Vasilevich Filipchenko, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00050	1969 Oct 12 1044:42	    4:22:40:23	-
    75	RU	C	S7/BI	Soyuz-7	H00048	Bortinzhener	Vladislav Nikolaevich Volkov	-	OKB1	OKB1	AS-00051	1969 Oct 12 1044:42	    4:22:40:23	-
    76	RU	M	S7/II	Soyuz-7	H00048	Inzhener-ispitatel'	Viktor Vasilevich Gorbatko, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00052	1969 Oct 12 1044:42	    4:22:40:23	-
    77	RU	M	S8/KDR	Soyuz-8	H00049	Komandir	Vladimir Aleksandrovich Shatalov, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00043	1969 Oct 13 1019:09	    4:22:50:49	-
    78	RU	C	S8/BI	Soyuz-8	H00049	Bortinzhener	Aleksey Stanislavovich Yeliseev	-	OKB1	OKB1	AS-00045	1969 Oct 13 1019:09	    4:22:50:49	-
    79	NASA	M	A12/CDR	Apollo 12	H00050	Commander	Charles Conrad, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00025	1969 Nov 14 1622:00	   10:04:36 	LM6:5,A12:7
    80	NASA	M	A12/CMP	Apollo 12	H00050	Command Module Pilot	Richard Francis Gordon, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00034	1969 Nov 14 1622:00	   10:04:36:33	-
    81	NASA	M	A12/LMP	Apollo 12	H00050	Lunar Module Pilot	Alan Lavern Bean, Cdr. USN, NASA	Cdr. USN	USN	NASA	AS-00053	1969 Nov 14 1622:00	   10:04:36 	LM6:5,A12:7
    82	NASA	M	A13/CDR	Apollo 13	H00051	Commander	James Arthur Lovell, Jr, Capt. USN, NASA	Capt. USN	USN	NASA	AS-00028	1970 Apr 11 1913:03	    5:22:54 	LM7:3,A13:8
    83	NASA	C	A13/CMP	Apollo 13	H00051	Command Module Pilot	John Leonard Swigert, NASA	-	NASA	NASA	AS-00054	1970 Apr 11 1913:03	    5:22:54 	LM7:3,A13:8
    84	NASA	C	A13/LMP	Apollo 13	H00051	Lunar Module Pilot	Frederick Wallace Haise, NASA   (USMC, Ret.)	-	NASA	NASA	AS-00055	1970 Apr 11 1913:03	    5:22:54 	LM7:3,A13:8
    85	RU	M	S9/KDR	Soyuz-9	H00052	Komandir	Andrian Grigorevich Nikolaev, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00008	1970 Jun  1 1900:00	   17:16:58:55	-
    86	RU	C	S9/BI	Soyuz-9	H00052	Bortinzhener	Vitaliy Ivanovich Sevastyanov	-	OKB1	OKB1	AS-00056	1970 Jun  1 1900:00	   17:16:58:55	-
    87	NASA	M	A14/CDR	Apollo 14	H00053	Commander	Alan Bartlett Shepard, Jr, Capt USN, NASA	Capt. USN	USN	NASA	AS-00002	1971 Jan 31 2103:02	    9:00:01 	LM8:5,A14:7
    88	NASA	M	A14/CMP	Apollo 14	H00053	Command Module Pilot	Stuart Allen Roosa, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00057	1971 Jan 31 2103:02	    9:00:01:57	-
    89	NASA	M	A14/LMP	Apollo 14	H00053	Lunar Module Pilot	Edgar Dean Mitchell, PhD, Capt USN, NASA	Capt. USN	USN	NASA	AS-00058	1971 Jan 31 2103:02	    9:00:01 	LM8:5,A14:7
    90	RU	M	S10/KDR	Soyuz-10	H00054	Komandir	Vladimir Aleksandrovich Shatalov, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00043	1971 Apr 22 2354:06	    1:23:45 	D1EX1,S10:3
    91	RU	C	S10/BI	Soyuz-10	H00054	Bortinzhener	Aleksey Stanislavovich Yeliseev	-	OKB1	OKB1	AS-00045	1971 Apr 22 2354:06	    1:23:45 	D1EX1,S10:3
    92	RU	C	S10/II	Soyuz-10	H00054	Inzhener-ispitatel'	Nikolai Nikolaevich Rukavishnikov	-	OKB1	OKB1	AS-00059	1971 Apr 22 2354:06	    1:23:45 	D1EX1,S10:3
